name,city,neighborhood,summary
La Roja de Todos,Queens,Corona,The restaurantÍ¢‘„‘s name is in homage to the Chilean national soccer team which is close to the heart of JosÍ—‘© Luis Norambuena the owner a native of ValparaÍ—‘_so Chile. Vania Isler his daughter patiently steers those unfamiliar with her native cuisine toward dishes Í¢‘„‘ñyou can find only here\u201d Í¢‘„‘î like pastel de choclo a casserole topped with a charred crust of corn and basil on which she suggests sprinkling sugar.
WafaÍ¢‘„‘s Express,Brooklyn,East Williamsburg,The menu at this mostly takeout spot could belong to any of the cityÍ¢‘„‘s frill-free Middle Eastern restaurants. But everything here is a little bit more Í¢‘„‘î brighter earthier smokier creamier. The difference is like a washed-out photograph that has been suddenly restored gaining colors and textures you did not know were there. Wafa Chami the chef was born in northern Lebanon to an inheritance of recipes five generations deep with a notable emphasis on sweets.
Torishin,New York,Hell's Kitchen,Over charcoal tended by the attentive chefs at Torishin each part of the chicken has a different form of pleasure to offer: chew or crunch subtlety or visceral impact. While some yakitori places favor sweet sauces and heavy blackening the house style is sensitive to timing averse to charring and careful with seasoning.
Mama Lee,Queens,Bayside,Mei Lee the eponymous owner of this small plain-spoken Taiwanese restaurant is a no-nonsense figure in apron and bandanna comfortingly bossy. With the help of her uncle in the kitchen she makes homey frankly appealing dishes like three-cup chicken lionÍ¢‘„‘s head meatballs and lu rou fan (ground pork braised in soy sauce and Shaoxing wine and poured over rice). Hours are erratic Í¢‘„‘î Ms. Lee likes her freedom Í¢‘„‘î so call ahead.
Babbo,New York,Greenwich Village,Mario Batali and his business partner Joe Bastianich own about two dozen restaurants in the United States and Asia. Babbo is the empireÍ¢‘„‘s spiritual home where the original formula of adventure and pleasure and curious-minded indulgence is still intact and where you can still try recipes that sprang from Mr. BataliÍ¢‘„‘s head when he was just a minor celebrity.
Neerob at Packsun Halal Chicken,Bronx,Parkchester,Neerob a Bangladeshi restaurant thought by many to be the cityÍ¢‘„‘s best closed last year and re-opened a few blocks away inside a halal fried chicken joint. There the fried chicken is now overshadowed by a steam table of Bangladeshi dishes charged with mustard oil and green chiles and beautiful sweets like rounds of rice-powder dough carved by hand with a wooden needle.
Augustine,New York,Financial District,Augustine has the prettiest giddiest interior Keith McNally has ever done. The Parisian flashback mood is so successful that it doesnÍ¢‘„‘t matter whether the food resembles anything you might eat in Paris itself.
Sugarfish by Sushi Nozawa,New York,Flatiron,Serious sushi can be expensive and diners who are ready to move up from entry-level quality but donÍ¢‘„‘t have a lot of money to spend can have a hard time figuring out where to go. Sugarfish which comes to town with a Los Angeles pedigree would like to be the answer. ItÍ¢‘„‘s not.
Franklin Barbecue,Austin,Austin Tex.,When you finally reach the front of the line at Franklin Barbecue you're asked how much brisket you want. Several considerations come into play of course like the elasticity of your stomach and your taste for pork smoked sausage and turkey. But brisket is the foundation on which Franklin Barbecue was built brisket as it is seasoned and barbecued by the owner and chief pitmaster Aaron Franklin.
Butterfunk Kitchen,Brooklyn,Windsor Terrace,Chris Scott the chef built his menu on memories of his NanaÍ¢‘„‘s cooking church picnics and neighborhood potlucks. Deviled eggs deep-fried corn on the cob scrapple and fried chicken with a gilding of lemonade honor both his Pennsylvania Dutch and Virginia roots. On Wednesday nights his wife Eugenie Woo brings her heritage to the table with chicken wings in a fever of Korean gochujang fermented chile paste. Mr. ScottÍ¢‘„‘s mother who always carried hot sauce in her purse would approve.
Little Egypt,Queens,Ridgewood,Nashaat Youssef the chef grew up in Alexandria EgyptÍ¢‘„‘s largest seaport and spent a decade cooking at a restaurant steps from the docks; here he takes special pride in his fish including a whole branzino crusted with cracked wheat and blackened over charcoal. His wife Yvette helps in the kitchen and his sons Mark and Wadie pitch in when not at school. Up front a cluster of tables are set with plastic black damask placemats and electric candles; in the back grocery shelves can be read like a library a scholarship of fava beans and black molasses.
Weekender Billiard,Queens,Woodside,In a corner of this Bhutanese snooker club portraits of the Dalai Lama and the king and queen of Bhutan tilt over a huddle of dining tables. Under their gaze the waiter brings plates of ema datse the Bhutanese daily meal of chiles and cheese; earthy red rice from high elevations in the Paro Valley; and black tea churned forever with salt and a pat of butter. Tourists to Bhutan must commit to spend $200 to $250 a day in the country; here in Queens snooker tables go for $13 an hour.
Sahib,New York,Kips Bay,Sahib darts around India. The menu pays a little bit of attention to several regions and ignores others entirely. This makes it hard to get a firm sense of any one regional style but easy to enjoy a handful of dishes you may have never seen before.
Cafe Lily,Brooklyn,Bensonhurst,Lilia Tyan the chef grew up in Tashkent Uzbekistan a descendant of Korean settlers in far eastern Russia who were relocated under StalinÍ¢‘„‘s orders to the steppes of central Asia. Her menu in Russian and in English includes traditional Uzbek dishes; the surprises come from the Korean larder. Most nights find her family gathered for dinner with her daughters-in-law getting up from their meals to take customersÍ¢‘„‘ orders sometimes with their small children tugging at their sleeves.
Chinese Tuxedo,New York,Chinatown,Situated in the stripped-down bones of the first Chinese theater in New York Chinese Tuxedo has a vintage air and a gleam of drama. The menu is described as fusion but it is the smart kind of fusion and often has discernible Chinese antecedents.
Dek Sen,Queens,Elmhurst,In this shallow storefront with red gingham tablecloths and rainbow twinkle lights Wirot Sirimatrasit cooks alongside his mother Ramphai Rinnasak a native of Phetchabun in the north of Thailand. They focus on the kind of unshowy full-flavored dishes that are the running stitch of a Thai childhood. This is food as balm for the homesick speaking directly to the Thai immigrants who live in the neighborhood Í¢‘„‘î although all are welcome.
